led_id,x,y,size
368,243,-228,19
369,199,-186,19
370,155,-145,18
371,97,106,19
372,72,95,19
373,49,80,19
374,-468,-326,19
375,-419,-292,19
376,-369,-258,18
377,-320,-224,19
378,-272,-189,19
379,-222,-155,20
380,460,-348,20
381,411,-311,19
382,363,-274,20
383,314,-238,19
384,266,-201,19
385,217,-165,19
386,170,-128,19
387,60,130,19
388,39,113,19
389,22,91,19
390,-499,-276,19
391,-446,-247,19
392,-394,-218,19
393,-341,-189,19
394,-290,-160,19
395,-237,-131,19
396,494,-298,20
397,441,-266,19
398,389,-235,19
399,337,-203,18
400,285,-172,19
401,233,-141,19
402,182,-110,19
403,16,142,19
404,2,120,19
405,-7,93,19
406,-525,-222,19
407,-470,-198,19
408,-415,-175,19
409,-359,-152,18
410,-305,-129,19
411,-250,-106,18
412,522,-245,20
413,467,-219,19
414,412,-193,19
415,357,-167,19
416,301,-142,18
417,247,-116,18
418,192,-90,18
419,-28,141,19
420,-35,114,19
421,-36,86,19
422,-545,-166,19
423,-488,-148,19
424,-431,-131,18
425,-373,-113,19
426,-316,-96,19
427,-259,-79,19
428,545,-189,20
429,487,-169,20
430,430,-149,19
431,372,-129,19
432,315,-109,19
433,258,-89,19
434,201,-70,18
435,-70,125,19
436,-68,98,19
437,-60,71,19
438,-559,-108,19
439,-500,-96,19
440,-442,-85,19
441,-383,-74,19
442,-325,-63,19
443,-266,-51,19
444,562,-131,19
445,502,-117,20
446,443,-103,19
447,384,-89,19
448,324,-76,18
449,266,-62,19
450,207,-48,19
451,-105,97,19
452,-95,72,19
453,-79,49,19
454,-567,-49,19
455,-507,-43,19
456,-448,-38,19
457,-388,-33,19
458,-329,-28,19
459,-270,-23,19
460,573,-71,20
461,512,-64,19
462,451,-56,19
463,391,-49,19
464,330,-41,18
465,270,-34,19
466,211,-26,19
467,-130,60,19
468,-113,39,18
469,-90,22,19
470,-569,11,19
471,-509,10,19
472,-450,9,19
473,-390,8,19
474,-331,6,19
475,-271,5,19
476,577,-11,20
477,515,-10,19
478,454,-9,19
479,394,-8,19
480,333,-6,19
481,273,-5,19
482,212,-4,19
483,-142,16,19
484,-119,2,19
485,-93,-7,19
486,-565,71,19
487,-505,63,19
488,-446,56,19
489,-387,48,19
490,-328,41,19
491,-269,33,19
